TimeH,R1H,T1H,R2H,T2H,TimeI,R1I,T1I,R2I,T2I
152.8460736,1.06E-11,2.55E-05,1.08E-11,2.66E-05,151.2190161,1.11E-11,1.53E-11,1.41E-11,2.44E-11
153.8408585,1.05E-11,2.57E-05,1.14E-11,2.74E-05,152.1896474,1.12E-11,1.54E-11,1.41E-11,2.42E-11
154.8216634,1.05E-11,2.58E-05,1.14E-11,2.70E-05,153.1506934,1.15E-11,1.63E-11,1.48E-11,2.47E-11
155.7991669,1.03E-11,2.56E-05,1.04E-11,2.68E-05,154.1236279,1.14E-11,1.77E-11,1.35E-11,2.48E-11
156.8070362,1.08E-11,2.57E-05,1.07E-11,2.72E-05,155.0859504,1.12E-11,1.66E-11,1.37E-11,2.49E-11
157.7742229,1.04E-11,2.46E-05,9.98E-12,2.71E-05,156.0484979,1.07E-11,1.58E-11,1.49E-11,2.46E-11
158.7519562,9.63E-12,2.38E-05,1.06E-11,2.77E-05,157.0011499,1.09E-11,1.44E-11,1.53E-11,2.47E-11
159.7285938,1.02E-11,2.58E-05,1.07E-11,2.76E-05,157.9438448,1.10E-11,1.54E-11,1.43E-11,2.39E-11
160.6793456,1.06E-11,2.53E-05,1.22E-11,2.69E-05,158.9168243,1.07E-11,1.61E-11,1.41E-11,2.49E-11
161.6466594,1.13E-11,2.52E-05,1.16E-11,2.69E-05,159.8880181,1.12E-11,1.57E-11,1.45E-11,2.48E-11
162.6138003,1.14E-11,2.69E-05,1.05E-11,2.74E-05,160.849757,1.15E-11,1.63E-11,1.44E-11,2.44E-11
163.596559,1.12E-11,2.64E-05,9.56E-12,2.77E-05,161.80128,1.14E-11,1.36E-11,1.46E-11,2.43E-11
164.5708373,1.09E-11,2.76E-05,9.98E-12,2.88E-05,162.7726419,1.04E-11,1.50E-11,1.42E-11,2.47E-11
165.5637593,1.07E-11,2.82E-05,1.11E-11,2.80E-05,163.7231848,1.14E-11,1.46E-11,1.47E-11,2.44E-11
166.5413952,1.12E-11,2.72E-05,1.03E-11,2.79E-05,164.7042749,1.11E-11,1.56E-11,1.40E-11,2.46E-11
167.5124798,1.12E-11,2.65E-05,1.04E-11,2.83E-05,165.6576805,1.15E-11,1.49E-11,1.42E-11,2.43E-11
168.5196862,1.22E-11,2.65E-05,1.13E-11,2.74E-05,166.6210809,1.11E-11,1.49E-11,1.43E-11,2.43E-11
169.4873912,1.11E-11,2.54E-05,1.13E-11,2.65E-05,167.5815527,1.06E-11,1.43E-11,1.41E-11,2.42E-11
170.4582989,1.12E-11,2.55E-05,1.09E-11,2.78E-05,168.5512574,1.05E-11,1.53E-11,1.32E-11,2.47E-11
171.4257379,1.15E-11,2.55E-05,1.09E-11,2.83E-05,169.5031154,1.12E-11,1.47E-11,1.44E-11,2.50E-11
172.4032011,1.06E-11,2.60E-05,1.08E-11,2.79E-05,170.4673476,1.23E-11,1.56E-11,1.53E-11,2.47E-11
173.3691494,1.05E-11,2.42E-05,9.95E-12,2.66E-05,171.4217205,1.21E-11,1.63E-11,1.54E-11,2.46E-11
174.346441,1.09E-11,2.44E-05,9.40E-12,2.65E-05,172.3942254,1.22E-11,1.74E-11,1.51E-11,2.50E-11
175.3544776,1.05E-11,2.47E-05,1.01E-11,2.61E-05,173.3553684,1.21E-11,1.69E-11,1.50E-11,2.43E-11
